layers,from,to,weight
l2VPM_l3GF,Comprehensive security and rule of law,Governance,1
l2VPM_l3GF,Comprehensive security and rule of law,Law and order,1
l2VPM_l3GF,Comprehensive security and rule of law,Physical security,1
l2VPM_l3GF,Comprehensive security and rule of law,Societal hazard regulation,1
l2VPM_l3GF,Diverse livelihoods and employment,Employment provision,1
l2VPM_l3GF,Diverse livelihoods and employment,Financial services,1
l2VPM_l3GF,Diverse livelihoods and employment,Governance,1
l2VPM_l3GF,Diverse livelihoods and employment,Learning and education,1
l2VPM_l3GF,Effective leadership and management,Biological hazard regulation,1
l2VPM_l3GF,Effective leadership and management,Communication systems,1
l2VPM_l3GF,Effective leadership and management,Community activities and engagement,1
l2VPM_l3GF,Effective leadership and management,Emergency services,1
l2VPM_l3GF,Effective leadership and management,Environmental hazard regulation,1
l2VPM_l3GF,Effective leadership and management,Governance,1
l2VPM_l3GF,Effective leadership and management,Law and order,1
l2VPM_l3GF,Effective leadership and management,Planning activities,1
l2VPM_l3GF,Effective leadership and management,Societal hazard regulation,1
l2VPM_l3GF,Effective leadership and management,Technological hazard regulation,1
l2VPM_l3GF,Effective provision of critical services,Biological hazard regulation,1
l2VPM_l3GF,Effective provision of critical services,Clean air,1
l2VPM_l3GF,Effective provision of critical services,Clean water,1
l2VPM_l3GF,Effective provision of critical services,Communication systems,1
l2VPM_l3GF,Effective provision of critical services,Emergency services,1
l2VPM_l3GF,Effective provision of critical services,Energy supply,1
l2VPM_l3GF,Effective provision of critical services,Environmental conservation,1
l2VPM_l3GF,Effective provision of critical services,Environmental hazard regulation,1
l2VPM_l3GF,Effective provision of critical services,Governance,1
l2VPM_l3GF,Effective provision of critical services,Planning activities,1
l2VPM_l3GF,Effective provision of critical services,Sanitation provision,1
l2VPM_l3GF,Effective provision of critical services,Societal hazard regulation,1
l2VPM_l3GF,Effective provision of critical services,Technological hazard regulation,1
l2VPM_l3GF,Effective provision of critical services,"Travel (people, not goods)",1
l2VPM_l3GF,Effective provision of critical services,Waste management,1
l2VPM_l3GF,Effective safeguards to human health and life,Biological hazard regulation,1
l2VPM_l3GF,Effective safeguards to human health and life,Emergency services,1
l2VPM_l3GF,Effective safeguards to human health and life,Environmental hazard regulation,1
l2VPM_l3GF,Effective safeguards to human health and life,Governance,1
l2VPM_l3GF,Effective safeguards to human health and life,Public health,1
l2VPM_l3GF,Effective safeguards to human health and life,Societal hazard regulation,1
l2VPM_l3GF,Effective safeguards to human health and life,Technological hazard regulation,1
l2VPM_l3GF,Effective safeguards to human health and life,"Travel (people, not goods)",1
l2VPM_l3GF,Empowered stakeholders,Communication systems,1
l2VPM_l3GF,Empowered stakeholders,Community activities and engagement,1
l2VPM_l3GF,Empowered stakeholders,Foster social cohesion,1
l2VPM_l3GF,Empowered stakeholders,Governance,1
l2VPM_l3GF,Empowered stakeholders,Learning and education,1
l2VPM_l3GF,Empowered stakeholders,Social interaction,1
l2VPM_l3GF,Empowered stakeholders,Societal hazard regulation,1
l2VPM_l3GF,Environmental sustainability,Animal welfare,1
l2VPM_l3GF,Environmental sustainability,Biological hazard regulation,1
l2VPM_l3GF,Environmental sustainability,Clean air,1
l2VPM_l3GF,Environmental sustainability,Clean water,1
l2VPM_l3GF,Environmental sustainability,Energy supply,1
l2VPM_l3GF,Environmental sustainability,Environmental conservation,1
l2VPM_l3GF,Environmental sustainability,Environmental hazard regulation,1
l2VPM_l3GF,Environmental sustainability,Food provision,1
l2VPM_l3GF,Environmental sustainability,Governance,1
l2VPM_l3GF,Environmental sustainability,Law and order,1
l2VPM_l3GF,Environmental sustainability,Planning activities,1
l2VPM_l3GF,Environmental sustainability,Sanitation provision,1
l2VPM_l3GF,Environmental sustainability,Waste management,1
l2VPM_l3GF,Integrated development and planning,Communication systems,1
l2VPM_l3GF,Integrated development and planning,Community activities and engagement,1
l2VPM_l3GF,Integrated development and planning,Environmental conservation,1
l2VPM_l3GF,Integrated development and planning,Environmental hazard regulation,1
l2VPM_l3GF,Integrated development and planning,Governance,1
l2VPM_l3GF,Integrated development and planning,Historical and cultural value contribution,1
l2VPM_l3GF,Integrated development and planning,Housing provision,1
l2VPM_l3GF,Integrated development and planning,Planning activities,1
l2VPM_l3GF,Integrated development and planning,Societal hazard regulation,1
l2VPM_l3GF,Minimal vulnerability,Animal welfare,1
l2VPM_l3GF,Minimal vulnerability,Clean air,1
l2VPM_l3GF,Minimal vulnerability,Clean water,1
l2VPM_l3GF,Minimal vulnerability,Clothing provision,1
l2VPM_l3GF,Minimal vulnerability,Energy supply,1
l2VPM_l3GF,Minimal vulnerability,Food provision,1
l2VPM_l3GF,Minimal vulnerability,Goods and services provision,1
l2VPM_l3GF,Minimal vulnerability,Governance,1
l2VPM_l3GF,Minimal vulnerability,Housing provision,1
l2VPM_l3GF,Minimal vulnerability,Physical security,1
l2VPM_l3GF,Minimal vulnerability,Public health,1
l2VPM_l3GF,Minimal vulnerability,Sanitation provision,1
l2VPM_l3GF,Minimal vulnerability,Societal hazard regulation,1
l2VPM_l3GF,Minimal vulnerability,Waste management,1
l2VPM_l3GF,Reduced exposure and fragility,Biological hazard regulation,1
l2VPM_l3GF,Reduced exposure and fragility,Emergency services,1
l2VPM_l3GF,Reduced exposure and fragility,Environmental conservation,1
l2VPM_l3GF,Reduced exposure and fragility,Environmental hazard regulation,1
l2VPM_l3GF,Reduced exposure and fragility,Governance,1
l2VPM_l3GF,Reduced exposure and fragility,Housing provision,1
l2VPM_l3GF,Reduced exposure and fragility,Law and order,1
l2VPM_l3GF,Reduced exposure and fragility,Planning activities,1
l2VPM_l3GF,Reduced exposure and fragility,Road conditions and safety,1
l2VPM_l3GF,Reduced exposure and fragility,Technological hazard regulation,1
l2VPM_l3GF,Reliable communications and mobility,Communication systems,1
l2VPM_l3GF,Reliable communications and mobility,Distribution of goods (logistics),1
l2VPM_l3GF,Reliable communications and mobility,Governance,1
l2VPM_l3GF,Reliable communications and mobility,Planning activities,1
l2VPM_l3GF,Reliable communications and mobility,Road conditions and safety,1
l2VPM_l3GF,Reliable communications and mobility,Technological hazard regulation,1
l2VPM_l3GF,Reliable communications and mobility,"Travel (people, not goods)",1
l2VPM_l3GF,Socio-economic equality and equity,Community activities and engagement,1
l2VPM_l3GF,Socio-economic equality and equity,Employment provision,1
l2VPM_l3GF,Socio-economic equality and equity,Financial services,1
l2VPM_l3GF,Socio-economic equality and equity,Food provision,1
l2VPM_l3GF,Socio-economic equality and equity,Foster social cohesion,1
l2VPM_l3GF,Socio-economic equality and equity,Goods and services provision,1
l2VPM_l3GF,Socio-economic equality and equity,Governance,1
l2VPM_l3GF,Socio-economic equality and equity,Historical and cultural value contribution,1
l2VPM_l3GF,Socio-economic equality and equity,Housing provision,1
l2VPM_l3GF,Socio-economic equality and equity,Law and order,1
l2VPM_l3GF,Socio-economic equality and equity,Learning and education,1
l2VPM_l3GF,Socio-economic equality and equity,Observance of religion,1
l2VPM_l3GF,Socio-economic equality and equity,Physical security,1
l2VPM_l3GF,Socio-economic equality and equity,Planning activities,1
l2VPM_l3GF,Socio-economic equality and equity,Public health,1
l2VPM_l3GF,Socio-economic equality and equity,Social interaction,1
l2VPM_l3GF,Socio-economic equality and equity,Societal hazard regulation,1
l2VPM_l3GF,Socio-economic equality and equity,"Travel (people, not goods)",1
l2VPM_l3GF,Sustainable economy,Distribution of goods (logistics),1
l2VPM_l3GF,Sustainable economy,Employment provision,1
l2VPM_l3GF,Sustainable economy,Financial services,1
l2VPM_l3GF,Sustainable economy,Goods and services provision,1
l2VPM_l3GF,Sustainable economy,Governance,1
l2VPM_l3GF,Sustainable economy,Recreational activities,1
l2VPM_l3GF,Sustainable economy,Social interaction,1
l2VPM_l3GF,Sustainable economy,Tourism,1
l2VPM_l3GF,Sustainable economy,"Travel (people, not goods)",1
l3GF_l4ORP,Animal welfare,Administrate retail activity,1
l3GF_l4ORP,Animal welfare,Animal rescue,1
l3GF_l4ORP,Animal welfare,Criminal investigation,1
l3GF_l4ORP,Animal welfare,Enforce environmental standards,1
l3GF_l4ORP,Animal welfare,Houses animals,1
l3GF_l4ORP,Animal welfare,Manage pests,1
l3GF_l4ORP,Animal welfare,Manufacture consumer discretionary,1
l3GF_l4ORP,Animal welfare,Manufacture consumer staples,1
l3GF_l4ORP,Animal welfare,Monitor environment,1
l3GF_l4ORP,Animal welfare,Provide animal healthcare,1
l3GF_l4ORP,Animal welfare,Provide discretionary goods,1
l3GF_l4ORP,Animal welfare,Provide retributive justice and criminal deterrence,1
l3GF_l4ORP,Animal welfare,Provide staple goods,1
l3GF_l4ORP,Animal welfare,Support species habitat,1
l3GF_l4ORP,Animal welfare,Undertake legal proceedings,1
l3GF_l4ORP,Biological hazard regulation,Act as access point for sanitation,1
l3GF_l4ORP,Biological hazard regulation,Act as access point for waste and recycling,1
l3GF_l4ORP,Biological hazard regulation,Act as grid point for wastewater,1
l3GF_l4ORP,Biological hazard regulation,Administrate healthcare services,1
l3GF_l4ORP,Biological hazard regulation,Administrate provision of wastewater services,1
l3GF_l4ORP,Biological hazard regulation,Administrate waste and recycling,1
l3GF_l4ORP,Biological hazard regulation,Dispense medicines,1
l3GF_l4ORP,Biological hazard regulation,Dispose waste and recycling,1
l3GF_l4ORP,Biological hazard regulation,Enforce environmental standards,1
l3GF_l4ORP,Biological hazard regulation,Enforce food standards,1
l3GF_l4ORP,Biological hazard regulation,Manage pests,1
l3GF_l4ORP,Biological hazard regulation,Manufacture consumer staples,1
l3GF_l4ORP,Biological hazard regulation,Manufacture healthcare equipment and supplies,1
l3GF_l4ORP,Biological hazard regulation,Monitor environment,1
l3GF_l4ORP,Biological hazard regulation,Process waste and recycling,1
l3GF_l4ORP,Biological hazard regulation,Provide general healthcare services,1
l3GF_l4ORP,Biological hazard regulation,Provide public communications service,1
l3GF_l4ORP,Biological hazard regulation,Provide staple goods,1
l3GF_l4ORP,Biological hazard regulation,Respond to emergencies,1
l3GF_l4ORP,Biological hazard regulation,Store wastewater,1
l3GF_l4ORP,Biological hazard regulation,Stores wholesale goods,1
l3GF_l4ORP,Biological hazard regulation,Transport waste and recycling,1
l3GF_l4ORP,Biological hazard regulation,Transport wastewater,1
l3GF_l4ORP,Biological hazard regulation,Treat wastewater,1
l3GF_l4ORP,Biological hazard regulation,Treat water,1
l3GF_l4ORP,Biological hazard regulation,Undertake research,1
l3GF_l4ORP,Ceremonies and services for major life events,Act as community meeting space,1
l3GF_l4ORP,Ceremonies and services for major life events,Facilitate registrar services,1
l3GF_l4ORP,Ceremonies and services for major life events,Provide death-care services,1
l3GF_l4ORP,Ceremonies and services for major life events,Provide place of worship,1
l3GF_l4ORP,Clean air,Design buildings and urban spaces,1
l3GF_l4ORP,Clean air,Enforce environmental standards,1
l3GF_l4ORP,Clean air,Monitor environment,1
l3GF_l4ORP,Clean air,Sequesters carbon,1
l3GF_l4ORP,Clean air,Support air filtration,1
l3GF_l4ORP,Clean air,Support microclimate regulation,1
l3GF_l4ORP,Clean air,Undertake research,1
l3GF_l4ORP,Clean water,Act as access point for potable water,1
l3GF_l4ORP,Clean water,Act as access point for sanitation,1
l3GF_l4ORP,Clean water,Act as grid point for wastewater,1
l3GF_l4ORP,Clean water,Act as grid point for water,1
l3GF_l4ORP,Clean water,Administrate provision of potable water,1
l3GF_l4ORP,Clean water,Administrate provision of wastewater services,1
l3GF_l4ORP,Clean water,Enforce environmental standards,1
l3GF_l4ORP,Clean water,Maintain watercourses,1
l3GF_l4ORP,Clean water,Manufacture materials,1
l3GF_l4ORP,Clean water,Monitor environment,1
l3GF_l4ORP,Clean water,Store wastewater,1
l3GF_l4ORP,Clean water,Store water,1
l3GF_l4ORP,Clean water,Support nutrient cycles,1
l3GF_l4ORP,Clean water,Support species habitat,1
l3GF_l4ORP,Clean water,Support water purification,1
l3GF_l4ORP,Clean water,Transport wastewater,1
l3GF_l4ORP,Clean water,Transport water,1
l3GF_l4ORP,Clean water,Treat wastewater,1
l3GF_l4ORP,Clean water,Treat water,1
l3GF_l4ORP,Clean water,Undertake research,1
l3GF_l4ORP,Clothing provision,Administrate large-scale transport of goods or people,1
l3GF_l4ORP,Clothing provision,Administrate retail activity,1
l3GF_l4ORP,Clothing provision,Maintain clothing,1
l3GF_l4ORP,Clothing provision,Manufacture consumer discretionary,1
l3GF_l4ORP,Clothing provision,Manufacture materials,1
l3GF_l4ORP,Clothing provision,Provide discretionary goods,1
l3GF_l4ORP,Clothing provision,Stores wholesale goods,1
l3GF_l4ORP,Communication systems,Act as access point for telecommunication,1
l3GF_l4ORP,Communication systems,Act as grid point for telecommunications,1
l3GF_l4ORP,Communication systems,Administrate provision of telecommunications,1
l3GF_l4ORP,Communication systems,Connect buildings to services,1
l3GF_l4ORP,Communication systems,Manufacture telecommunication equipment and supplies,1
l3GF_l4ORP,Communication systems,Provide IT services,1
l3GF_l4ORP,Communication systems,Provide marketing and media services,1
l3GF_l4ORP,Communication systems,Provide other discretionary services,1
l3GF_l4ORP,Communication systems,Provide public communications service,1
l3GF_l4ORP,Communication systems,Transmit telecommunications,1
l3GF_l4ORP,Community activities and engagement,Act as community meeting space,1
l3GF_l4ORP,Community activities and engagement,Act as place of historical or cultural importance,1
l3GF_l4ORP,Community activities and engagement,Act as point of contact for public to raise social and civic issues,1
l3GF_l4ORP,Community activities and engagement,Administrate community grants,1
l3GF_l4ORP,Community activities and engagement,Advise on community activities,1
l3GF_l4ORP,Community activities and engagement,Design buildings and urban spaces,1
l3GF_l4ORP,Community activities and engagement,Display items of significance,1
l3GF_l4ORP,Community activities and engagement,Facilitate creative expression,1
l3GF_l4ORP,Community activities and engagement,Facilitate cultural events,1
l3GF_l4ORP,Community activities and engagement,Facilitate leisure or recreation,1
l3GF_l4ORP,Community activities and engagement,Provide older childcare,1
l3GF_l4ORP,Community activities and engagement,Provide place of worship,1
l3GF_l4ORP,Community activities and engagement,Provide recreational learning,1
l3GF_l4ORP,Community activities and engagement,Provide social support,1
l3GF_l4ORP,Community activities and engagement,Provide younger childcare,1
l3GF_l4ORP,Community activities and engagement,Screens media,1
l3GF_l4ORP,Distribution of goods (logistics),Act as access point for goods distribution,1
l3GF_l4ORP,Distribution of goods (logistics),Act as access point for petrol or oil,1
l3GF_l4ORP,Distribution of goods (logistics),Act as access point for traffic information,1
l3GF_l4ORP,Distribution of goods (logistics),Act as mode of transport,1
l3GF_l4ORP,Distribution of goods (logistics),Act as transport hub,1
l3GF_l4ORP,Distribution of goods (logistics),Administrate large-scale transport of goods or people,1
l3GF_l4ORP,Distribution of goods (logistics),Administrate provision of traffic information,1
l3GF_l4ORP,Distribution of goods (logistics),Administrate retail activity,1
l3GF_l4ORP,Distribution of goods (logistics),Charges electric vehicles,1
l3GF_l4ORP,Distribution of goods (logistics),Design buildings and urban spaces,1
l3GF_l4ORP,Distribution of goods (logistics),Direct traffic,1
l3GF_l4ORP,Distribution of goods (logistics),Generate traffic information,1
l3GF_l4ORP,Distribution of goods (logistics),Maintain roads,1
l3GF_l4ORP,Distribution of goods (logistics),Maintain vehicles,1
l3GF_l4ORP,Distribution of goods (logistics),Manufacture industrial equipment and supplies,1
l3GF_l4ORP,Distribution of goods (logistics),Manufacture materials,1
l3GF_l4ORP,Distribution of goods (logistics),Provide barrier to movement,1
l3GF_l4ORP,Distribution of goods (logistics),Provide covered passageway,1
l3GF_l4ORP,Distribution of goods (logistics),Provide qualification services,1
l3GF_l4ORP,Distribution of goods (logistics),Provide removal and storage services,1
l3GF_l4ORP,Distribution of goods (logistics),Rent vehicles,1
l3GF_l4ORP,Distribution of goods (logistics),Sort and organise delivery of goods,1
l3GF_l4ORP,Distribution of goods (logistics),Store vehicles,1
l3GF_l4ORP,Distribution of goods (logistics),Stores wholesale goods,1
l3GF_l4ORP,Emergency services,Act as access point for petrol or oil,1
l3GF_l4ORP,Emergency services,Act as access point for telecommunication,1
l3GF_l4ORP,Emergency services,Act as access point for traffic information,1
l3GF_l4ORP,Emergency services,Act as grid point for telecommunications,1
l3GF_l4ORP,Emergency services,Act as mode of transport,1
l3GF_l4ORP,Emergency services,Act as training grounds for armed forces exercise,1
l3GF_l4ORP,Emergency services,Administrate armed forces operations,1
l3GF_l4ORP,Emergency services,Administrate emergency services,1
l3GF_l4ORP,Emergency services,Administrate provision of telecommunications,1
l3GF_l4ORP,Emergency services,Administrate provision of traffic information,1
l3GF_l4ORP,Emergency services,Administrate taxes,1
l3GF_l4ORP,Emergency services,Administrate transport to healthcare services,1
l3GF_l4ORP,Emergency services,Animal rescue,1
l3GF_l4ORP,Emergency services,Criminal investigation,1
l3GF_l4ORP,Emergency services,Direct traffic,1
l3GF_l4ORP,Emergency services,Dispense medicines,1
l3GF_l4ORP,Emergency services,Generate traffic information,1
l3GF_l4ORP,Emergency services,Maintain roads,1
l3GF_l4ORP,Emergency services,Maintain vehicles,1
l3GF_l4ORP,Emergency services,Manufacture healthcare equipment and supplies,1
l3GF_l4ORP,Emergency services,Manufacture industrial equipment and supplies,1
l3GF_l4ORP,Emergency services,Provide barrier to movement,1
l3GF_l4ORP,Emergency services,Provide covered passageway,1
l3GF_l4ORP,Emergency services,Provide general healthcare services,1
l3GF_l4ORP,Emergency services,Provide mental healthcare services,1
l3GF_l4ORP,Emergency services,Provide qualification services,1
l3GF_l4ORP,Emergency services,Provide sexual healthcare services,1
l3GF_l4ORP,Emergency services,Respond to emergencies,1
l3GF_l4ORP,Emergency services,Store vehicles,1
l3GF_l4ORP,Emergency services,Transmit telecommunications,1
l3GF_l4ORP,Employment provision,Act as access point for potable water,1
l3GF_l4ORP,Employment provision,Act as access point for sanitation,1
l3GF_l4ORP,Employment provision,Administrate banking operations,1
l3GF_l4ORP,Employment provision,Administrate benefits,1
l3GF_l4ORP,Employment provision,Administrate diplomacy,1
l3GF_l4ORP,Employment provision,Administrate educational facilities,1
l3GF_l4ORP,Employment provision,Administrate political duties,1
l3GF_l4ORP,Employment provision,Administrate taxes,1
l3GF_l4ORP,Employment provision,Advise on employment issues,1
l3GF_l4ORP,Employment provision,Provide education services,1
l3GF_l4ORP,Employment provision,Provide employment,1
l3GF_l4ORP,Employment provision,Provide financial services,1
l3GF_l4ORP,Employment provision,Provide legal advice,1
l3GF_l4ORP,Employment provision,Provide older childcare,1
l3GF_l4ORP,Employment provision,Provide qualification services,1
l3GF_l4ORP,Employment provision,Provide supported learning,1
l3GF_l4ORP,Employment provision,Provide working environment,1
l3GF_l4ORP,Employment provision,Provide younger childcare,1
l3GF_l4ORP,Employment provision,Support access to employment,1
l3GF_l4ORP,Employment provision,Support mental health and wellbeing,1
l3GF_l4ORP,Employment provision,Support physical health and fitness,1
l3GF_l4ORP,Employment provision,Transmit money,1
l3GF_l4ORP,Energy supply,Act as access point for electricity,1
l3GF_l4ORP,Energy supply,Act as access point for gas,1
l3GF_l4ORP,Energy supply,Act as access point for petrol or oil,1
l3GF_l4ORP,Energy supply,Act as grid point for electricity,1
l3GF_l4ORP,Energy supply,Act as grid point for gas,1
l3GF_l4ORP,Energy supply,Administrate provision of electricity,1
l3GF_l4ORP,Energy supply,Administrate provision of gas,1
l3GF_l4ORP,Energy supply,Charges electric vehicles,1
l3GF_l4ORP,Energy supply,Connect buildings to services,1
l3GF_l4ORP,Energy supply,Generate electricity,1
l3GF_l4ORP,Energy supply,Manufacture gas and oil equipment and supplies,1
l3GF_l4ORP,Energy supply,Provide qualification services,1
l3GF_l4ORP,Energy supply,Store gas,1
l3GF_l4ORP,Energy supply,Transmit electricity,1
l3GF_l4ORP,Energy supply,Transmit gas,1
l3GF_l4ORP,Environmental conservation,Act as access point for sanitation,1
l3GF_l4ORP,Environmental conservation,Act as access point for waste and recycling,1
l3GF_l4ORP,Environmental conservation,Act as grid point for wastewater,1
l3GF_l4ORP,Environmental conservation,Administrate provision of wastewater services,1
l3GF_l4ORP,Environmental conservation,Administrate waste and recycling,1
l3GF_l4ORP,Environmental conservation,Animal rescue,1
l3GF_l4ORP,Environmental conservation,Design buildings and urban spaces,1
l3GF_l4ORP,Environmental conservation,Dispose waste and recycling,1
l3GF_l4ORP,Environmental conservation,Enforce environmental standards,1
l3GF_l4ORP,Environmental conservation,Maintain roads,1
l3GF_l4ORP,Environmental conservation,Maintain watercourses,1
l3GF_l4ORP,Environmental conservation,Manage pests,1
l3GF_l4ORP,Environmental conservation,Monitor environment,1
l3GF_l4ORP,Environmental conservation,Process waste and recycling,1
l3GF_l4ORP,Environmental conservation,Provide access to planning resources and services,1
l3GF_l4ORP,Environmental conservation,Provide animal healthcare,1
l3GF_l4ORP,Environmental conservation,Provide drainage,1
l3GF_l4ORP,Environmental conservation,Provide street care and cleaning,1
l3GF_l4ORP,Environmental conservation,Sequesters carbon,1
l3GF_l4ORP,Environmental conservation,Store wastewater,1
l3GF_l4ORP,Environmental conservation,Support air filtration,1
l3GF_l4ORP,Environmental conservation,Support excess water storage,1
l3GF_l4ORP,Environmental conservation,Support microclimate regulation,1
l3GF_l4ORP,Environmental conservation,Support nutrient cycles,1
l3GF_l4ORP,Environmental conservation,Support species habitat,1
l3GF_l4ORP,Environmental conservation,Support water purification,1
l3GF_l4ORP,Environmental conservation,Transport waste and recycling,1
l3GF_l4ORP,Environmental conservation,Transport wastewater,1
l3GF_l4ORP,Environmental conservation,Treat wastewater,1
l3GF_l4ORP,Environmental conservation,Undertake research,1
l3GF_l4ORP,Environmental hazard regulation,Act as access point for potable water,1
l3GF_l4ORP,Environmental hazard regulation,Act as grid point for water,1
l3GF_l4ORP,Environmental hazard regulation,Administrate provision of potable water,1
l3GF_l4ORP,Environmental hazard regulation,Design buildings and urban spaces,1
l3GF_l4ORP,Environmental hazard regulation,Enforce building standards,1
l3GF_l4ORP,Environmental hazard regulation,Enforce environmental standards,1
l3GF_l4ORP,Environmental hazard regulation,Grow food,1
l3GF_l4ORP,Environmental hazard regulation,Maintain roads,1
l3GF_l4ORP,Environmental hazard regulation,Maintain watercourses,1
l3GF_l4ORP,Environmental hazard regulation,Manufacture consumer staples,1
l3GF_l4ORP,Environmental hazard regulation,Monitor environment,1
l3GF_l4ORP,Environmental hazard regulation,Provide access to planning resources and services,1
l3GF_l4ORP,Environmental hazard regulation,Provide drainage,1
l3GF_l4ORP,Environmental hazard regulation,Provide flood barrier,1
l3GF_l4ORP,Environmental hazard regulation,Provide public communications service,1
l3GF_l4ORP,Environmental hazard regulation,Provide staple goods,1
l3GF_l4ORP,Environmental hazard regulation,Respond to emergencies,1
l3GF_l4ORP,Environmental hazard regulation,Sequesters carbon,1
l3GF_l4ORP,Environmental hazard regulation,Store water,1
l3GF_l4ORP,Environmental hazard regulation,Stores wholesale goods,1
l3GF_l4ORP,Environmental hazard regulation,Support excess water storage,1
l3GF_l4ORP,Environmental hazard regulation,Support microclimate regulation,1
l3GF_l4ORP,Environmental hazard regulation,Support nutrient cycles,1
l3GF_l4ORP,Environmental hazard regulation,Support water purification,1
l3GF_l4ORP,Environmental hazard regulation,Transport water,1
